Perusahaan,Sektor
PT Karya Tangan Indah (Bali),Gems/Jewellery
PT Karya Tangguh Persada,Food & Beverage/Catering/Restaurant
PT Karya Tehnik Pasirindo,General & Wholesale Trading
PT KARYA TEKNIK KARDIM,Manufacturing/Production
PT Karya Terpadu Sejahtera,Others
PT Karya Titan (Karya Titan Group),Hotel/Hospitality
PT Karya Tri Andita,BioTechnology / Pharmaceutical / Clinical research
PT Karya Tuban Cemerlang,Automobile / Automotive Ancillary / Vehicle
PT Karya Tugas Anda,Manufacturing/Production
PT Karya Tunas Glorindo,Manufacturing / Production
PT Karya Tunas Glorindo (Semarang),Manufacturing/Production
PT Karya Unggul,Construction / Building / Engineering
PT Karya Unggulan Cemerlang (TSH Group),Agricultural/Plantation/Poultry/Fisheries
PT Karya Usaha aneka Terjaya,General & Wholesale Trading
PT Karya Utama Berlian,General & Wholesale Trading
PT Karya Utama Indonesia,Architectural Services/Interior Designing
PT Karya Utama Jaya,Property/Real Estate
PT Karya Utama Perdana (Blok M Square),Property / Real Estate
PT Karya Utamaputra Mandiri,Manufacturing/Production
PT Karya Wisesa Sejahtera,Construction/Building/Engineering
PT Karya Yasantara Cakti – ESAB,Manufacturing/Production
PT Karya Zirang Utama,General & Wholesale Trading
PT Karya Zirang Utama Semarang,Automobile/Automotive Ancillary/Vehicle
PT Karyabhakti Insanutama,Oil / Gas / Petroleum
PT Karyacipta Bangun Mandiri,Construction/Building/Engineering
PT Karyadata Komunika,Telecommunication
PT Karyadata Komunika (Semarang),Repair & Maintenance Services
PT karyadata Komunika (Surabaya),Construction / Building / Engineering
PT Karyadeka Alam Lestari,Property/Real Estate
PT Karyadibya Mahardhika,Manufacturing/Production
PT Karyadinamika Anugerahprima,Manufacturing/Production
PT Karyagraha Nusantara,Consulting (Business & Management)
PT Karyaguna Aditama,Advertising / Marketing / Promotion / PR
PT Karyamas Adinusantara,Agricultural/Plantation/Poultry/Fisheries
PT Karyamitra Budisentosa,Manufacturing/Production
PT Karyanet Indo jasa,Consulting (Business & Management)
PT Karyapratama Dunia,Manufacturing/Production
PT Karyaprima Multisarana,General & Wholesale Trading
PT Karyaputra Lokatirta,Transportation/Logistics
PT Karyaputra Suryagemilang ( KPSG ),Human Resources Management/Consulting
PT Karyatama Graha Persada,Accounting/Audit/Tax Services
PT Karyatama Makmur Sentosa,Consulting (Business & Management)
PT Karyatim Surabaya,Construction/Building/Engineering
PT Karyatugas Paramitra,Manufacturing/Production
PT Karyawaja Ekamulia,General & Wholesale Trading
