Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2017,Dalam,1,SMAN 34,IPA,63
Jakarta,2017,Dalam,1,SMAN 34,IPS,38
Jakarta,2017,Dalam,1,SMAN 35,IPA,24
Jakarta,2017,Dalam,1,SMAN 35,IPS,37
Jakarta,2017,Dalam,1,SMAN 35,BAHASA,12
Jakarta,2017,Dalam,1,SMAN 36,IPA,47
Jakarta,2017,Dalam,1,SMAN 36,IPS,47
Jakarta,2017,Dalam,1,SMAN 37,IPA,50
Jakarta,2017,Dalam,1,SMAN 37,IPS,37
Jakarta,2017,Dalam,1,SMAN 38,IPA,50
Jakarta,2017,Dalam,1,SMAN 38,IPS,38
Jakarta,2017,Dalam,1,SMAN 39,IPA,77
Jakarta,2017,Dalam,1,SMAN 39,IPS,32
Jakarta,2017,Dalam,1,SMAN 40,IPA,40
Jakarta,2017,Dalam,1,SMAN 40,IPS,52
Jakarta,2017,Dalam,1,SMAN 41,IPA,37
Jakarta,2017,Dalam,1,SMAN 41,IPS,49
Jakarta,2017,Dalam,1,SMAN 42,IPA,53
Jakarta,2017,Dalam,1,SMAN 42,IPS,35
Jakarta,2017,Dalam,1,SMAN 43,IPA,47
Jakarta,2017,Dalam,1,SMAN 43,IPS,47
Jakarta,2017,Dalam,1,SMAN 44,IPA,49
Jakarta,2017,Dalam,1,SMAN 44,IPS,36
Jakarta,2017,Dalam,1,SMAN 45,IPA,49
Jakarta,2017,Dalam,1,SMAN 45,IPS,49
Jakarta,2017,Dalam,1,SMAN 46,IPA,46
Jakarta,2017,Dalam,1,SMAN 46,IPS,56
Jakarta,2017,Dalam,1,SMAN 47,IPA,50
Jakarta,2017,Dalam,1,SMAN 47,IPS,50
Jakarta,2017,Dalam,1,SMAN 48,IPA,62
Jakarta,2017,Dalam,1,SMAN 48,IPS,37
Jakarta,2017,Dalam,1,SMAN 49,IPA,54
Jakarta,2017,Dalam,1,SMAN 49,IPS,28
Jakarta,2017,Dalam,1,SMAN 50,IPA,37
Jakarta,2017,Dalam,1,SMAN 50,IPS,51
Jakarta,2017,Dalam,1,SMAN 51,IPA,49
Jakarta,2017,Dalam,1,SMAN 51,IPS,48
Jakarta,2017,Dalam,1,SMAN 52,IPA,64
Jakarta,2017,Dalam,1,SMAN 52,IPS,65
Jakarta,2017,Dalam,1,SMAN 53,IPA,49
Jakarta,2017,Dalam,1,SMAN 53,IPS,37
Jakarta,2017,Dalam,1,SMAN 54,IPA,50
Jakarta,2017,Dalam,1,SMAN 54,IPS,49
Jakarta,2017,Dalam,1,SMAN 55,IPA,49
Jakarta,2017,Dalam,1,SMAN 55,IPS,49
Jakarta,2017,Dalam,1,SMAN 56,IPA,25
Jakarta,2017,Dalam,1,SMAN 56,IPS,25
Jakarta,2017,Dalam,1,SMAN 56,BAHASA,13
Jakarta,2017,Dalam,1,SMAN 57,IPA,38
Jakarta,2017,Dalam,1,SMAN 57,IPS,38
Jakarta,2017,Dalam,1,SMAN 58,IPA,63
Jakarta,2017,Dalam,1,SMAN 58,IPS,63
Jakarta,2017,Dalam,1,SMAN 59,IPA,58
Jakarta,2017,Dalam,1,SMAN 59,IPS,44
Jakarta,2017,Dalam,1,SMAN 60,IPA,43
Jakarta,2017,Dalam,1,SMAN 60,IPS,56
Jakarta,2017,Dalam,1,SMAN 61,IPA,50
Jakarta,2017,Dalam,1,SMAN 61,IPS,25
Jakarta,2017,Dalam,1,SMAN 62,IPA,47
Jakarta,2017,Dalam,1,SMAN 62,IPS,46
Jakarta,2017,Dalam,1,SMAN 63,IPA,47
Jakarta,2017,Dalam,1,SMAN 63,IPS,47
Jakarta,2017,Dalam,1,SMAN 64,IPA,38
Jakarta,2017,Dalam,1,SMAN 64,IPS,50
Jakarta,2017,Dalam,1,SMAN 65,IPA,37
Jakarta,2017,Dalam,1,SMAN 65,IPS,25
Jakarta,2017,Dalam,1,SMAN 66,IPA,37
Jakarta,2017,Dalam,1,SMAN 66,IPS,47
Jakarta,2017,Dalam,1,SMAN 67,IPA,53
Jakarta,2017,Dalam,1,SMAN 67,IPS,57
Jakarta,2017,Dalam,1,SMAN 68,IPA,76
Jakarta,2017,Dalam,1,SMAN 68,IPS,49
Jakarta,2017,Dalam,1,SMAN 70,IPA,123
Jakarta,2017,Dalam,1,SMAN 70,IPS,31
Jakarta,2017,Dalam,1,SMAN 71,IPA,53
Jakarta,2017,Dalam,1,SMAN 71,IPS,55
Jakarta,2017,Dalam,1,SMAN 72,IPA,49
Jakarta,2017,Dalam,1,SMAN 72,IPS,37
Jakarta,2017,Dalam,1,SMAN 72,BAHASA,12
Jakarta,2017,Dalam,1,SMAN 73,IPA,25
Jakarta,2017,Dalam,1,SMAN 73,IPS,49
Jakarta,2017,Dalam,1,SMAN 74,IPA,37
Jakarta,2017,Dalam,1,SMAN 74,IPS,48
Jakarta,2017,Dalam,1,SMAN 75,IPA,51
Jakarta,2017,Dalam,1,SMAN 75,IPS,37
Jakarta,2017,Dalam,1,SMAN 76,IPA,37
Jakarta,2017,Dalam,1,SMAN 76,IPS,23
Jakarta,2017,Dalam,1,SMAN 77,IPA,40
Jakarta,2017,Dalam,1,SMAN 77,IPS,40
Jakarta,2017,Dalam,1,SMAN 78,IPA,112
Jakarta,2017,Dalam,1,SMAN 78,IPS,30
Jakarta,2017,Dalam,1,SMAN 78,BAHASA,15
Jakarta,2017,Dalam,1,SMAN 79,IPA,30
Jakarta,2017,Dalam,1,SMAN 79,IPS,37
Jakarta,2017,Dalam,1,SMAN 80,IPA,50
Jakarta,2017,Dalam,1,SMAN 80,IPS,36
Jakarta,2017,Dalam,1,SMAN 81,IPA,70
Jakarta,2017,Dalam,1,SMAN 81,IPS,27
Jakarta,2017,Dalam,1,SMAN 82,IPA,51
Jakarta,2017,Dalam,1,SMAN 82,IPS,49
Jakarta,2017,Dalam,1,SMAN 83,IPA,24
Jakarta,2017,Dalam,1,SMAN 83,IPS,38
Jakarta,2017,Dalam,1,SMAN 84,IPA,38
Jakarta,2017,Dalam,1,SMAN 84,IPS,38
Jakarta,2017,Dalam,1,SMAN 84,BAHASA,13
Jakarta,2017,Dalam,1,SMAN 85,IPA,49
Jakarta,2017,Dalam,1,SMAN 85,IPS,24
Jakarta,2017,Dalam,1,SMAN 86,IPA,36
Jakarta,2017,Dalam,1,SMAN 86,IPS,35
Jakarta,2017,Dalam,1,SMAN 87,IPA,37
Jakarta,2017,Dalam,1,SMAN 87,IPS,37
Jakarta,2017,Dalam,1,SMAN 88,IPA,25
Jakarta,2017,Dalam,1,SMAN 88,IPS,38
Jakarta,2017,Dalam,1,SMAN 89,IPA,37
Jakarta,2017,Dalam,1,SMAN 89,IPS,37
Jakarta,2017,Dalam,1,SMAN 90,IPA,63
Jakarta,2017,Dalam,1,SMAN 90,IPS,50
Jakarta,2017,Dalam,1,SMAN 91,IPA,46
Jakarta,2017,Dalam,1,SMAN 91,IPS,47
Jakarta,2017,Dalam,1,SMAN 92,IPA,64
Jakarta,2017,Dalam,1,SMAN 92,IPS,47
Jakarta,2017,Dalam,1,SMAN 92,BAHASA,15
Jakarta,2017,Dalam,1,SMAN 93,IPA,45
Jakarta,2017,Dalam,1,SMAN 93,IPS,28
Jakarta,2017,Dalam,1,SMAN 94,IPA,38
Jakarta,2017,Dalam,1,SMAN 94,IPS,37
Jakarta,2017,Dalam,1,SMAN 95,IPA,57
Jakarta,2017,Dalam,1,SMAN 95,IPS,56
Jakarta,2017,Dalam,1,SMAN 95,BAHASA,15
Jakarta,2017,Dalam,1,SMAN 97,IPA,38
Jakarta,2017,Dalam,1,SMAN 97,IPS,76
Jakarta,2017,Dalam,1,SMAN 98,IPA,63
Jakarta,2017,Dalam,1,SMAN 98,IPS,50
Jakarta,2017,Dalam,1,SMAN 99,IPA,72
Jakarta,2017,Dalam,1,SMAN 99,IPS,58
Jakarta,2017,Dalam,1,SMAN 100,IPA,49
Jakarta,2017,Dalam,1,SMAN 100,IPS,48
Jakarta,2017,Dalam,1,SMAN 101,IPA,50
Jakarta,2017,Dalam,1,SMAN 101,IPS,50
Jakarta,2017,Dalam,1,SMAN 102,IPA,43
Jakarta,2017,Dalam,1,SMAN 102,IPS,57
Jakarta,2017,Dalam,1,SMAN 103,IPA,40
Jakarta,2017,Dalam,1,SMAN 103,IPS,56
Jakarta,2017,Dalam,1,SMAN 104,IPA,63
Jakarta,2017,Dalam,1,SMAN 104,IPS,37
Jakarta,2017,Dalam,1,SMAN 105,IPA,50
Jakarta,2017,Dalam,1,SMAN 105,IPS,38
Jakarta,2017,Dalam,1,SMAN 106,IPA,38
Jakarta,2017,Dalam,1,SMAN 106,IPS,51
Jakarta,2017,Dalam,1,SMAN 107,IPA,38
Jakarta,2017,Dalam,1,SMAN 107,IPS,38
Jakarta,2017,Dalam,1,SMAN 108,IPA,24
Jakarta,2017,Dalam,1,SMAN 108,IPS,38
Jakarta,2017,Dalam,1,SMAN 109,IPA,49
Jakarta,2017,Dalam,1,SMAN 109,IPS,37
Jakarta,2017,Dalam,1,SMAN 110,IPA,37
Jakarta,2017,Dalam,1,SMAN 110,IPS,49
Jakarta,2017,Dalam,1,SMAN 110,BAHASA,13
Jakarta,2017,Dalam,1,SMAN 111,IPA,22
Jakarta,2017,Dalam,1,SMAN 111,IPS,23
Jakarta,2017,Dalam,1,SMAN 112,IPA,62
Jakarta,2017,Dalam,1,SMAN 112,IPS,37
Jakarta,2017,Dalam,1,SMAN 113,IPA,68
Jakarta,2017,Dalam,1,SMAN 113,IPS,64
