Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai
Jakarta,2018,Dalam,2,SMAN 31,IPA,Rata-rata,74.76
Jakarta,2018,Dalam,2,SMAN 31,IPS,Terendah,66.25
Jakarta,2018,Dalam,2,SMAN 31,IPS,Tertinggi,74
Jakarta,2018,Dalam,2,SMAN 31,IPS,Rata-rata,68.59
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Terendah,66.13
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Tertinggi,77.5
Jakarta,2018,Dalam,2,SMAN 31,BAHASA,Rata-rata,69.96
Jakarta,2018,Dalam,2,SMAN 32,IPA,Terendah,65.5
Jakarta,2018,Dalam,2,SMAN 32,IPA,Tertinggi,76.88
Jakarta,2018,Dalam,2,SMAN 32,IPA,Rata-rata,67.83
Jakarta,2018,Dalam,2,SMAN 32,IPS,Terendah,65.13
Jakarta,2018,Dalam,2,SMAN 32,IPS,Tertinggi,73.88
Jakarta,2018,Dalam,2,SMAN 32,IPS,Rata-rata,66.9
Jakarta,2018,Dalam,2,SMAN 33,IPA,Terendah,80.38
Jakarta,2018,Dalam,2,SMAN 33,IPA,Tertinggi,88.38
Jakarta,2018,Dalam,2,SMAN 33,IPA,Rata-rata,83.21
Jakarta,2018,Dalam,2,SMAN 33,IPS,Terendah,71.5
Jakarta,2018,Dalam,2,SMAN 33,IPS,Tertinggi,93.38
Jakarta,2018,Dalam,2,SMAN 33,IPS,Rata-rata,76.85
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Terendah,69
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Tertinggi,83.13
Jakarta,2018,Dalam,2,SMAN 33,BAHASA,Rata-rata,73.46
Jakarta,2018,Dalam,2,SMAN 34,IPA,Terendah,87.13
Jakarta,2018,Dalam,2,SMAN 34,IPA,Tertinggi,92
Jakarta,2018,Dalam,2,SMAN 34,IPA,Rata-rata,88.43
Jakarta,2018,Dalam,2,SMAN 34,IPS,Terendah,84.13
Jakarta,2018,Dalam,2,SMAN 34,IPS,Tertinggi,86.88
Jakarta,2018,Dalam,2,SMAN 34,IPS,Rata-rata,85.5
Jakarta,2018,Dalam,2,SMAN 35,IPA,Terendah,63.13
Jakarta,2018,Dalam,2,SMAN 35,IPA,Tertinggi,81.5
Jakarta,2018,Dalam,2,SMAN 35,IPA,Rata-rata,65.21
Jakarta,2018,Dalam,2,SMAN 35,IPS,Terendah,63
Jakarta,2018,Dalam,2,SMAN 35,IPS,Tertinggi,66.13
Jakarta,2018,Dalam,2,SMAN 35,IPS,Rata-rata,64.05
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Terendah,62.25
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Tertinggi,64.88
Jakarta,2018,Dalam,2,SMAN 35,BAHASA,Rata-rata,62.99
Jakarta,2018,Dalam,2,SMAN 36,IPA,Terendah,65.13
Jakarta,2018,Dalam,2,SMAN 36,IPA,Tertinggi,82.63
Jakarta,2018,Dalam,2,SMAN 36,IPA,Rata-rata,69.78
Jakarta,2018,Dalam,2,SMAN 36,IPS,Terendah,65
Jakarta,2018,Dalam,2,SMAN 36,IPS,Tertinggi,73.5
Jakarta,2018,Dalam,2,SMAN 36,IPS,Rata-rata,67.32
Jakarta,2018,Dalam,2,SMAN 37,IPA,Terendah,68.25
Jakarta,2018,Dalam,2,SMAN 37,IPA,Tertinggi,84.75
Jakarta,2018,Dalam,2,SMAN 37,IPA,Rata-rata,71.16
Jakarta,2018,Dalam,2,SMAN 37,IPS,Terendah,67.5
Jakarta,2018,Dalam,2,SMAN 37,IPS,Tertinggi,76.13
Jakarta,2018,Dalam,2,SMAN 37,IPS,Rata-rata,69.22
Jakarta,2018,Dalam,2,SMAN 38,IPA,Terendah,83.75
Jakarta,2018,Dalam,2,SMAN 38,IPA,Tertinggi,90.5
Jakarta,2018,Dalam,2,SMAN 38,IPA,Rata-rata,85.77
Jakarta,2018,Dalam,2,SMAN 38,IPS,Terendah,78.88
Jakarta,2018,Dalam,2,SMAN 38,IPS,Tertinggi,84.25
Jakarta,2018,Dalam,2,SMAN 38,IPS,Rata-rata,81.96
Jakarta,2018,Dalam,2,SMAN 39,IPA,Terendah,85.13
Jakarta,2018,Dalam,2,SMAN 39,IPA,Tertinggi,95.13
Jakarta,2018,Dalam,2,SMAN 39,IPA,Rata-rata,87.92
Jakarta,2018,Dalam,2,SMAN 39,IPS,Terendah,79.75
Jakarta,2018,Dalam,2,SMAN 39,IPS,Tertinggi,85.63
Jakarta,2018,Dalam,2,SMAN 39,IPS,Rata-rata,81.06
Jakarta,2018,Dalam,2,SMAN 40,IPA,Terendah,59.63
Jakarta,2018,Dalam,2,SMAN 40,IPA,Tertinggi,66.75
Jakarta,2018,Dalam,2,SMAN 40,IPA,Rata-rata,61.17
Jakarta,2018,Dalam,2,SMAN 40,IPS,Terendah,59
Jakarta,2018,Dalam,2,SMAN 40,IPS,Tertinggi,67.38
Jakarta,2018,Dalam,2,SMAN 40,IPS,Rata-rata,60.29
Jakarta,2018,Dalam,2,SMAN 41,IPA,Terendah,59.25
Jakarta,2018,Dalam,2,SMAN 41,IPA,Tertinggi,69.25
Jakarta,2018,Dalam,2,SMAN 41,IPA,Rata-rata,60.73
Jakarta,2018,Dalam,2,SMAN 41,IPS,Terendah,59.25
Jakarta,2018,Dalam,2,SMAN 41,IPS,Tertinggi,63.13
Jakarta,2018,Dalam,2,SMAN 41,IPS,Rata-rata,60.07
Jakarta,2018,Dalam,2,SMAN 42,IPA,Terendah,69.25
Jakarta,2018,Dalam,2,SMAN 42,IPA,Tertinggi,84.25
Jakarta,2018,Dalam,2,SMAN 42,IPA,Rata-rata,72.54
Jakarta,2018,Dalam,2,SMAN 42,IPS,Terendah,68.13
Jakarta,2018,Dalam,2,SMAN 42,IPS,Tertinggi,74.38
Jakarta,2018,Dalam,2,SMAN 42,IPS,Rata-rata,69.19
Jakarta,2018,Dalam,2,SMAN 43,IPA,Terendah,66.75
Jakarta,2018,Dalam,2,SMAN 43,IPA,Tertinggi,84.13
Jakarta,2018,Dalam,2,SMAN 43,IPA,Rata-rata,69.06
Jakarta,2018,Dalam,2,SMAN 43,IPS,Terendah,65.63
Jakarta,2018,Dalam,2,SMAN 43,IPS,Tertinggi,74.13
Jakarta,2018,Dalam,2,SMAN 43,IPS,Rata-rata,67.25
Jakarta,2018,Dalam,2,SMAN 44,IPA,Terendah,77
Jakarta,2018,Dalam,2,SMAN 44,IPA,Tertinggi,83
Jakarta,2018,Dalam,2,SMAN 44,IPA,Rata-rata,79.31
Jakarta,2018,Dalam,2,SMAN 44,IPS,Terendah,69.25
Jakarta,2018,Dalam,2,SMAN 44,IPS,Tertinggi,76
Jakarta,2018,Dalam,2,SMAN 44,IPS,Rata-rata,71.37
Jakarta,2018,Dalam,2,SMAN 45,IPA,Terendah,62.63
Jakarta,2018,Dalam,2,SMAN 45,IPA,Tertinggi,71.25
Jakarta,2018,Dalam,2,SMAN 45,IPA,Rata-rata,64.26
Jakarta,2018,Dalam,2,SMAN 45,IPS,Terendah,62.38
Jakarta,2018,Dalam,2,SMAN 45,IPS,Tertinggi,67
Jakarta,2018,Dalam,2,SMAN 45,IPS,Rata-rata,63.41
Jakarta,2018,Dalam,2,SMAN 46,IPA,Terendah,70.25
Jakarta,2018,Dalam,2,SMAN 46,IPA,Tertinggi,79.75
Jakarta,2018,Dalam,2,SMAN 46,IPA,Rata-rata,72.48
Jakarta,2018,Dalam,2,SMAN 46,IPS,Terendah,67.75
Jakarta,2018,Dalam,2,SMAN 46,IPS,Tertinggi,76.25
Jakarta,2018,Dalam,2,SMAN 46,IPS,Rata-rata,69.47
Jakarta,2018,Dalam,2,SMAN 47,IPA,Terendah,85.88
Jakarta,2018,Dalam,2,SMAN 47,IPA,Tertinggi,93.75
Jakarta,2018,Dalam,2,SMAN 47,IPA,Rata-rata,88.6
Jakarta,2018,Dalam,2,SMAN 47,IPS,Terendah,76.38
Jakarta,2018,Dalam,2,SMAN 47,IPS,Tertinggi,88.63
Jakarta,2018,Dalam,2,SMAN 47,IPS,Rata-rata,80.78
Jakarta,2018,Dalam,2,SMAN 48,IPA,Terendah,83.5
Jakarta,2018,Dalam,2,SMAN 48,IPA,Tertinggi,91.5
Jakarta,2018,Dalam,2,SMAN 48,IPA,Rata-rata,85.97
Jakarta,2018,Dalam,2,SMAN 48,IPS,Terendah,74.88
Jakarta,2018,Dalam,2,SMAN 48,IPS,Tertinggi,86
Jakarta,2018,Dalam,2,SMAN 48,IPS,Rata-rata,79.12
Jakarta,2018,Dalam,2,SMAN 49,IPA,Terendah,80.13
Jakarta,2018,Dalam,2,SMAN 49,IPA,Tertinggi,86.25
Jakarta,2018,Dalam,2,SMAN 49,IPA,Rata-rata,82.31
Jakarta,2018,Dalam,2,SMAN 49,IPS,Terendah,76.75
Jakarta,2018,Dalam,2,SMAN 49,IPS,Tertinggi,82.75
Jakarta,2018,Dalam,2,SMAN 49,IPS,Rata-rata,78.24
Jakarta,2018,Dalam,2,SMAN 50,IPA,Terendah,66.63
Jakarta,2018,Dalam,2,SMAN 50,IPA,Tertinggi,74.38
Jakarta,2018,Dalam,2,SMAN 50,IPA,Rata-rata,68.92
Jakarta,2018,Dalam,2,SMAN 50,IPS,Terendah,66.88
Jakarta,2018,Dalam,2,SMAN 50,IPS,Tertinggi,74.5
Jakarta,2018,Dalam,2,SMAN 50,IPS,Rata-rata,68.41
Jakarta,2018,Dalam,2,SMAN 51,IPA,Terendah,68.5
Jakarta,2018,Dalam,2,SMAN 51,IPA,Tertinggi,72.63
Jakarta,2018,Dalam,2,SMAN 51,IPA,Rata-rata,69.78
Jakarta,2018,Dalam,2,SMAN 51,IPS,Terendah,68.13
Jakarta,2018,Dalam,2,SMAN 51,IPS,Tertinggi,73.25
Jakarta,2018,Dalam,2,SMAN 51,IPS,Rata-rata,69.14
Jakarta,2018,Dalam,2,SMAN 52,IPA,Terendah,70.63
Jakarta,2018,Dalam,2,SMAN 52,IPA,Tertinggi,82
Jakarta,2018,Dalam,2,SMAN 52,IPA,Rata-rata,75.49
Jakarta,2018,Dalam,2,SMAN 52,IPS,Terendah,64.25
Jakarta,2018,Dalam,2,SMAN 52,IPS,Tertinggi,74.5
Jakarta,2018,Dalam,2,SMAN 52,IPS,Rata-rata,67.09
Jakarta,2018,Dalam,2,SMAN 53,IPA,Terendah,67.38
Jakarta,2018,Dalam,2,SMAN 53,IPA,Tertinggi,82.88
Jakarta,2018,Dalam,2,SMAN 53,IPA,Rata-rata,71.24
Jakarta,2018,Dalam,2,SMAN 53,IPS,Terendah,67
Jakarta,2018,Dalam,2,SMAN 53,IPS,Tertinggi,74.13
Jakarta,2018,Dalam,2,SMAN 53,IPS,Rata-rata,68.77
Jakarta,2018,Dalam,2,SMAN 54,IPA,Terendah,72.88
Jakarta,2018,Dalam,2,SMAN 54,IPA,Tertinggi,86.25
Jakarta,2018,Dalam,2,SMAN 54,IPA,Rata-rata,77.94
Jakarta,2018,Dalam,2,SMAN 54,IPS,Terendah,67.88
Jakarta,2018,Dalam,2,SMAN 54,IPS,Tertinggi,86.63
Jakarta,2018,Dalam,2,SMAN 54,IPS,Rata-rata,70.06
Jakarta,2018,Dalam,2,SMAN 55,IPA,Terendah,75.88
Jakarta,2018,Dalam,2,SMAN 55,IPA,Tertinggi,84.88
Jakarta,2018,Dalam,2,SMAN 55,IPA,Rata-rata,79.65
Jakarta,2018,Dalam,2,SMAN 55,IPS,Terendah,71.75
Jakarta,2018,Dalam,2,SMAN 55,IPS,Tertinggi,78.75
Jakarta,2018,Dalam,2,SMAN 55,IPS,Rata-rata,73.76
Jakarta,2018,Dalam,2,SMAN 56,IPA,Terendah,63.25
Jakarta,2018,Dalam,2,SMAN 56,IPA,Tertinggi,71.63
Jakarta,2018,Dalam,2,SMAN 56,IPA,Rata-rata,64.84
Jakarta,2018,Dalam,2,SMAN 56,IPS,Terendah,63.25
Jakarta,2018,Dalam,2,SMAN 56,IPS,Tertinggi,69.25
Jakarta,2018,Dalam,2,SMAN 56,IPS,Rata-rata,64.29
Jakarta,2018,Dalam,2,SMAN 56,BAHASA,Terendah,63
Jakarta,2018,Dalam,2,SMAN 56,BAHASA,Tertinggi,66
Jakarta,2018,Dalam,2,SMAN 56,BAHASA,Rata-rata,63.55
Jakarta,2018,Dalam,2,SMAN 57,IPA,Terendah,66.5
Jakarta,2018,Dalam,2,SMAN 57,IPA,Tertinggi,77.75
Jakarta,2018,Dalam,2,SMAN 57,IPA,Rata-rata,69.06
Jakarta,2018,Dalam,2,SMAN 57,IPS,Terendah,65.13
Jakarta,2018,Dalam,2,SMAN 57,IPS,Tertinggi,83.25
Jakarta,2018,Dalam,2,SMAN 57,IPS,Rata-rata,67.36
Jakarta,2018,Dalam,2,SMAN 58,IPA,Terendah,73.88
Jakarta,2018,Dalam,2,SMAN 58,IPA,Tertinggi,86
Jakarta,2018,Dalam,2,SMAN 58,IPA,Rata-rata,77.24
Jakarta,2018,Dalam,2,SMAN 58,IPS,Terendah,70.63
Jakarta,2018,Dalam,2,SMAN 58,IPS,Tertinggi,80.63
Jakarta,2018,Dalam,2,SMAN 58,IPS,Rata-rata,73.01
Jakarta,2018,Dalam,2,SMAN 59,IPA,Terendah,67.13
Jakarta,2018,Dalam,2,SMAN 59,IPA,Tertinggi,80.88
Jakarta,2018,Dalam,2,SMAN 59,IPA,Rata-rata,70.98
Jakarta,2018,Dalam,2,SMAN 59,IPS,Terendah,67.63
Jakarta,2018,Dalam,2,SMAN 59,IPS,Tertinggi,73.25
