Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPA,Pilihan 2,69
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPA,Pilihan 3,103
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPS,Pilihan 1,74
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPS,Pilihan 2,69
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPS,Pilihan 3,103
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPA,Pilihan 1,147
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPA,Pilihan 2,142
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPA,Pilihan 3,33
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPS,Pilihan 1,147
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPS,Pilihan 2,142
Jakarta,Dalam,2018,1,SMA NEGERI 26,IPS,Pilihan 3,33
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPA,Pilihan 1,79
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPA,Pilihan 2,87
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPA,Pilihan 3,109
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPS,Pilihan 1,79
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPS,Pilihan 2,87
Jakarta,Dalam,2018,1,SMA NEGERI 27,IPS,Pilihan 3,109
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPA,Pilihan 1,317
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPA,Pilihan 2,26
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPA,Pilihan 3,13
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPS,Pilihan 1,317
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPS,Pilihan 2,26
Jakarta,Dalam,2018,1,SMA NEGERI 28,IPS,Pilihan 3,13
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPA,Pilihan 1,109
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPA,Pilihan 2,131
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPA,Pilihan 3,88
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPS,Pilihan 1,109
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPS,Pilihan 2,131
Jakarta,Dalam,2018,1,SMA NEGERI 29,IPS,Pilihan 3,88
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPA,Pilihan 1,84
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPA,Pilihan 2,108
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPA,Pilihan 3,107
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPS,Pilihan 1,84
Jakarta,Dalam,2018,1,SMA NEGERI 30,IPS,Pilihan 2,108
