Nomor,Tahun,Daerah,,Persentase Suara (%),No Pasangan,Jabatan,Nama,,Jumlah Suara,Persentase Suara (%),,wakil,,,,,
30,2018,Kabupaten Kerinci,Menang,37.39,2,Bupati,"Dr. H. Adirozal, M.Si",Menang,55341,37.39,Menang,FALSE,1,Menang,Menang,,
30,2018,Kabupaten Kerinci,,33.77,3,Bupati,"Zainal Abidin, Sh, Mh",,49989,33.77,,FALSE,1,,,,
31,2018,Kota Jambi,,44.27,1,Walikota,"Drs. H. Abdullah Sani, M.Pd.I",,116554,44.27,,FALSE,0,,,,
31,2018,Kota Jambi,Menang,55.73,2,Walikota,"Dr. H. Syarif Fasha, Me",Menang,146704,55.73,Menang,FALSE,1,Menang,Menang,,
32,2018,Kabupaten Merangin,,19.88,1,Bupati,"Ir. H. Ahmad Fauzi, Mt",,37333,19.88,,FALSE,0,,,,
32,2018,Kabupaten Merangin,Menang,44.77,2,Bupati,"Dr. H. Al Haris, S.Sos., Mh.",Menang,84068,44.77,Menang,FALSE,1,Menang,Menang,,
32,2018,Kabupaten Merangin,,35.35,3,Bupati,"Dr. Drs. H. Nalim.Sh.,Mm.",,66392,35.35,,FALSE,1,,,,
33,2018,Kabupaten Bandung Barat,,22.62,1,Bupati,"Dra. Hj. Elin Suharliah, M.Si",,195763,22.62,,FALSE,0,,,,
33,2018,Kabupaten Bandung Barat,,28.93,2,Bupati,Ir. H. Doddy Imron Cholid,,250355,28.93,Menang,FALSE,1,Menang,Menang,,
33,2018,Kabupaten Bandung Barat,Menang,48.45,3,Bupati,"Aa Umbara Sutisna, S.Ip",Menang,419225,48.45,Menang,FALSE,1,Menang,Menang,,
34,2018,Kabupaten Bogor,,8.26,1,Bupati,"H. Fitri Putra Nugraha, Sos",,18355,8.26,,FALSE,0,,,,
34,2018,Kabupaten Bogor,Menang,40.63,2,Bupati,Ade Yasin,Menang,903231,40.63,Menang,FALSE,1,Menang,Menang,,
34,2018,Kabupaten Bogor,,38.73,3,Bupati,"H. Ade Ruhandi - Jaro Ade, Se",,860958,38.73,,FALSE,1,,,,
34,2018,Kabupaten Bogor,,4.58,4,Bupati,Ir. H. Gunawan Hasan,,101711,4.58,,FALSE,1,,,,
34,2018,Kabupaten Bogor,,7.8,5,Bupati,"Ade Wardhana Adinata, Se.,Mm",,173378,7.8,Menang,FALSE,1,Menang,Menang,,
35,2018,Kabupaten Ciamis,Menang,59.59,1,Bupati,H. Herdiat Sunarya,Menang,41456,59.59,Menang,FALSE,0,Menang,Menang,,
35,2018,Kabupaten Ciamis,,40.41,2,Bupati,H. Iing Syam Arifin,,281177,40.41,,FALSE,1,,,,
36,2018,Kabupaten Cirebon,,27.28,1,Bupati,"Drs. H. Kalinga, Mm",,272429,27.28,,FALSE,0,,,,
36,2018,Kabupaten Cirebon,Menang,30.94,2,Bupati,"Dr. H. Sunjaya Purwadisastra, M.M., M.Si.",Menang,309048,30.94,Menang,FALSE,1,Menang,Menang,,
36,2018,Kabupaten Cirebon,,15.37,3,Bupati,H. Rakhmat,,153524,15.37,,FALSE,1,,,,
36,2018,Kabupaten Cirebon,,26.41,4,Bupati,"H. Mohamad Luthfi, St",,263788,26.41,Menang,FALSE,1,Menang,Menang,,
37,2018,Kabupaten Garut,Menang,35.83,1,Bupati,"H. Rudy Gunawan, Sh., Mh., Mp",Menang,427463,35.83,Menang,FALSE,0,Menang,Menang,,
37,2018,Kabupaten Garut,,32.81,2,Bupati,Iman Alirahman,,391393,32.81,,FALSE,1,,,,
37,2018,Kabupaten Garut,,11.18,3,Bupati,"Suryana, S.Ag",,133317,11.18,,FALSE,1,,,,
37,2018,Kabupaten Garut,,20.18,4,Bupati,"H. Agus Hamdani Gs, S.Pd.I",,240702,20.18,Menang,FALSE,1,Menang,Menang,,
38,2018,Kota Bandung,,23.9,1,Walikota,Nurul Qomaril Arifin,,302291,23.9,,FALSE,0,,,,
38,2018,Kota Bandung,,26.08,2,Walikota,"Dr. H. Yossi Irianto, M.Si",,329878,26.08,Menang,FALSE,1,Menang,Menang,,
38,2018,Kota Bandung,Menang,50.02,3,Walikota,Oded Mohamad Danial,Menang,632723,50.02,Menang,FALSE,1,Menang,Menang,,
39,2018,Kota Banjar,Menang,52.36,1,Walikota,"Hj. Ade Uu Sukaesih, S.Ip, M.Si",Menang,5802,52.36,Menang,FALSE,0,Menang,Menang,,
39,2018,Kota Banjar,,47.64,2,Walikota,Maman Suryaman,,52784,47.64,,FALSE,1,,,,
40,2018,Kota Bekasi,Menang,67.5,1,Walikota,Dr. Rahmat Effendi,Menang,694446,67.5,Menang,FALSE,0,Menang,Menang,,
40,2018,Kota Bekasi,,32.5,2,Walikota,"Dr. Nur Supriyanto, Mm",,334389,32.5,,FALSE,1,,,,
41,2018,Kota Bogor,,31.03,1,Walikota,"Drh. H. Achmad Ru'Yat, M.Si",,146929,31.03,Menang,FALSE,0,Menang,Menang,,
41,2018,Kota Bogor,,12.56,2,Walikota,"H. Edgar Suratman, Se., Mm",,59456,12.56,,FALSE,1,,,,
41,2018,Kota Bogor,Menang,43.44,3,Walikota,Dr. H. Bima Arya Sugiarto,Menang,205686,43.44,Menang,FALSE,1,Menang,Menang,,
41,2018,Kota Bogor,,12.98,4,Walikota,"H. Dadang Iskandar Danubrata, S.E",,61444,12.98,,FALSE,1,,,,
42,2018,Kota Cirebon,,49.42,1,Walikota,"Bamunas Setiawan Boediman, Mba",,78587,49.42,,FALSE,0,,,,
42,2018,Kota Cirebon,Menang,50.58,2,Walikota,"Drs. Nashrudin Azis, Sh",Menang,80422,50.58,Menang,FALSE,1,Menang,Menang,,
43,2018,Kota Sukabumi,,23.26,1,Walikota,"Jona Arizona, S.Ip., Mm.",,38217,23.26,,FALSE,0,,,,
43,2018,Kota Sukabumi,Menang,51.14,2,Walikota,H. Achmad Fahmi,Menang,84032,51.14,Menang,FALSE,1,Menang,Menang,,
43,2018,Kota Sukabumi,,17.78,3,Walikota,"Dr. H. Mulyono, Mm.",,2922,17.78,,FALSE,1,,,,
43,2018,Kota Sukabumi,,7.82,4,Walikota,"Dedi Rantjani Widjaja, Se., Mm.",,12856,7.82,,FALSE,1,,,,
44,2018,Kabupaten Kuningan,,32.58,1,Bupati,Dr. Toto Taufikurohman Kosim,,196002,32.58,Menang,FALSE,0,Menang,Menang,,
44,2018,Kabupaten Kuningan,,27.69,2,Bupati,"H. Dudy Pamuji, S.E, M.Si",,166545,27.69,,FALSE,1,,,,
44,2018,Kabupaten Kuningan,Menang,39.73,3,Bupati,"H. Acep Purnama, S.H., M.H.",Menang,23902,39.73,Menang,FALSE,1,Menang,Menang,,
45,2018,Kabupaten Majalengka,,19.87,1,Bupati,Maman Imanul Haq,,133433,19.87,,FALSE,0,,,,
45,2018,Kabupaten Majalengka,Menang,46.1,2,Bupati,"Dr. H. Karna Sobahi, M.M.Pd.",Menang,309633,46.1,Menang,FALSE,1,Menang,Menang,,
45,2018,Kabupaten Majalengka,,34.03,3,Bupati,"Dr. H. Sanwasi, Mm.",,228535,34.03,,FALSE,1,,,,
46,2018,Kabupaten Purwakarta,,17.71,1,Bupati,"Drs. H. Padil Karsoma, M.Si",,87961,17.71,,FALSE,0,,,,
46,2018,Kabupaten Purwakarta,Menang,43.79,2,Bupati,Hj. Anne Ratna Mustika,Menang,217488,43.79,Menang,FALSE,1,Menang,Menang,,
46,2018,Kabupaten Purwakarta,,38.5,3,Bupati,"H. Zainal Arifin, Mt. Ir",,191252,38.5,,FALSE,1,,,,
47,2018,Kabupaten Subang,Menang,39.95,1,Bupati,H. Ruhimat,Menang,307157,39.95,Menang,FALSE,0,Menang,Menang,,
47,2018,Kabupaten Subang,,29.76,2,Bupati,"Hj. Imas Aryumningsih, Se",,228751,29.76,,FALSE,1,,,,
47,2018,Kabupaten Subang,,30.29,3,Bupati,"Drs. Dedi Junaedi, Sh",,232858,30.29,Menang,FALSE,1,Menang,Menang,,
48,2018,Kabupaten Sumedang,Menang,42.83,1,Bupati,"H. Dony Ahmad Munir, S.T., M.M.",Menang,275323,42.83,Menang,FALSE,0,Menang,Menang,,
48,2018,Kabupaten Sumedang,,10.73,2,Bupati,"H. Setya Widodo, S.H.",,68949,10.73,,FALSE,1,,,,
48,2018,Kabupaten Sumedang,,18.69,3,Bupati,"Drs. H. Zaenal Alimin, M.M.",,120163,18.69,Menang,FALSE,1,Menang,Menang,,
48,2018,Kabupaten Sumedang,,15.97,4,Bupati,Irwansyah Putra,,10267,15.97,,FALSE,1,,,,
48,2018,Kabupaten Sumedang,,11.77,5,Bupati,"Ir. H. Eka Setiawan, Dipl., S.E., M.M.",,75667,11.77,,FALSE,1,,,,
49,2018,Kabupaten Banyumas,,44.32,1,Bupati,"Drs. H. Mardjoko, Mm",,409408,44.32,,FALSE,0,,,,
49,2018,Kabupaten Banyumas,Menang,55.68,2,Bupati,Ir. H. Achmad Husein,Menang,514412,55.68,Menang,FALSE,1,Menang,Menang,,
50,2018,Kabupaten Karanganyar,,43.8,1,Bupati,"H. Rohadi Widodo, Sp.",,231356,43.8,,FALSE,0,,,,
50,2018,Kabupaten Karanganyar,Menang,56.2,2,Bupati,"Drs. H. Juliyatmono, Mm.",Menang,296873,56.2,Menang,FALSE,1,Menang,Menang,,
51,2018,Kota Tegal,,15.48,1,Walikota,H.M. Nursholeh,,21029,15.48,Menang,FALSE,0,Menang,Menang,,
51,2018,Kota Tegal,,12.65,2,Walikota,H. A. Ghautsun,,17189,12.65,,FALSE,1,,,,
51,2018,Kota Tegal,Menang,28.01,3,Walikota,"H. Dedy Yon Supriyono, S.E., M.M.",Menang,38041,28.01,Menang,FALSE,1,Menang,Menang,,
51,2018,Kota Tegal,,27.81,4,Walikota,"K. H. Habib Ali Zaenal Abidin, S.E., M.H.",,3777,27.81,,FALSE,1,,,,
51,2018,Kota Tegal,,16.05,5,Walikota,"Herujito, S.I.P.",,21802,16.05,,FALSE,1,,,,
52,2018,Kabupaten Kudus,,38.52,1,Bupati,"Masan, Se, Mm",,194205,38.52,Menang,FALSE,0,Menang,Menang,,
52,2018,Kabupaten Kudus,,1.47,2,Bupati,"H. Nor Hartoyo, Sh",,7389,1.47,,FALSE,1,,,,
52,2018,Kabupaten Kudus,,15.25,3,Bupati,"Hj. Sri Hartini, St",,76904,15.25,Menang,FALSE,1,Menang,Menang,,
