nama_kantor,wilayah_administrasi,kecamatan,kelurahan,alamat_kantor,latitude,longitude,telepon,faxsimile
Kantor Lurah Tambora,Jakarta Barat,Kec. Tambora,Kel. Tambora,Jl Tambora III No 8,-6.146752,106.808577,021 63850137,021 63850137
Kantor Lurah Tanah Sereal,Jakarta Barat,Kec. Tambora,Kel. Tanah Sereal,JL. KH. Moh. Mansyur No. 116,-6.158306,106.808608,021 6390644,021 63861734
Kantor Lurah Krendang,Jakarta Barat,Kec. Tambora,Kel. Krendang,Jl. Krendang Selatan No. 21,-6.152139,106.801885,021 6313661,021 6313661
Kantor Lurah Jembatan Besi,Jakarta Barat,Kec. Tambora,Kel. Jembatan Besi,Jl. Jembatan Besi VIII No.2 RT.012 RW.06 ,-6.152691,106.798254,021 6310743,021 6310743
Kantor Lurah Angke,Jakarta Barat,Kec. Tambora,Kel. Angke,Jl. H. Jamhari No. 25RT.02/RW.01,-6.143517,106.800282,021 6342578,021 6342578
Kantor Lurah Jembatan Lima,Jakarta Barat,Kec. Tambora,Kel. Jembatan Lima,Jl. Stasiun Angke No.134  RT.005/05 ,-6.144399,106.800717,021 6499829,021 6499829
Kantor Lurah Duri Selatan,Jakarta Barat,Kec. Tambora,Kel. Duri Selatan,Jl. Duri Selatan VIII No.9 RT.04 RW. 05 ,-6.158185,106.802458,021 6302371,021 6302371
Kantor Lurah Pekojan,Jakarta Barat,Kec. Tambora,Kel. Pekojan,Jl.Pekojan 3 No.97 ,-6.139497,106.800964,021 6915992,021 6903186
Kantor Lurah Duri Utara,Jakarta Barat,Kec. Tambora,Kel. Duri Utara,Jl. Duri Utara Raya No. 22,-6.154834,106.801833,021 6329859,021 6329859
Kantor Lurah Roa Malaka,Jakarta Barat,Kec. Tambora,Kel. Roa Malaka,Jl. Tiang Bendera V No. 36 RT.004/03 ,-6.132536,106.807495,021 6925765,021 6925765
Kantor Camat Taman Sari,Jakarta Barat,Kec. Taman Sari,Kel. Pinangsia,Jl. Kemukus No. 2 RT.009/07,-6.134273,106.815397,021 6907046,021 6904400
Kantor Lurah Taman Sari,Jakarta Barat,Kec. Taman Sari,Kel. Taman Sari,Jl. Mangga Besar IV No. 7 RT.002/01,-6.150722,106.823192,021 6396087,021 6396087
Kantor Lurah Glodok,Jakarta Barat,Kec. Taman Sari,Kel. Glodok,Jl. Keadilan I No 1 RT 04/04,-6.14618,106.812832,021 6296843,021 6296843
Kantor Lurah Mangga Besar,Jakarta Barat,Kec. Taman Sari,Kel. Mangga Besar,Jl. Mangga Besar III No. 1 RT.002/05,-6.147329,106.819252,021 6297674,021 6297674
Kantor Lurah Pinangsia,Jakarta Barat,Kec. Taman Sari,Kel. Pinangsia,Jl. Mangga Dua III No. 111,-6.13844,106.819587,021 6012530,021 6012530
Kantor Lurah Krukut,Jakarta Barat,Kec. Taman Sari,Kel. Krukut,Jl. Keutamaan No.39,-6.155647,106.816278,021 63854384,021 63854384
Kantor Lurah Tangki,Jakarta Barat,Kec. Taman Sari,Kel. Tangki,Jl. THR Dalam No.2 Lokasari ,-6.146343,106.822541,021 6285043,021 6285043
Kantor Lurah Keagungan,Jakarta Barat,Kec. Taman Sari,Kel. Keagungan,Jl. Keagungan No.57/59 RT.002 RW.08 ,-6.150889,106.814952,021 6296844,021 6296844
Kantor Lurah Maphar,Jakarta Barat,Kec. Taman Sari,Kel. Maphar,Jl. Kebon Jeruk XVI No 15 RT.002/RW.08,-6.152936,106.818677,021 6292486,021 6292486
Kantor Camat Kalideres,Jakarta Barat,Kec. Kalideres,Kel. Pegadungan ,Jl. Peta Utara No. 26,-6.142246,106.702167,021 6198350,021 6198350
Kantor Lurah Semanan,Jakarta Barat,Kec. Kalideres,Kel. Semanan,Jl. Semanan Raya No.45 RT.06/07,-6.160107,106.705479,021 6191987,021 6191987
Kantor Lurah Kalideres,Jakarta Barat,Kec. Kalideres,Kel. Kalideres,Perumahan Citra I Blok G VI/13 RT.001/09 ,-6.143427,106.692377,021 5447657,021 5447657
Kantor Lurah Pegadungan,Jakarta Barat,Kec. Kalideres,Kel. Pegadungan ,Jl. Palem Raja Timur Komp. Citra 3 Blok D 11 RT. 015/013,-6.129842,106.710954,021 6190467,021 6190467
Kantor Lurah Kamal,Jakarta Barat,Kec. Kalideres,Kel. Kamal,Jalan Benda Raya No. 1 RT. 007/02 ,-6.104496,106.706132,021 5550921,021 5550921
Kantor Lurah Tegal Alur,Jakarta Barat,Kec. Kalideres,Kel. Tegal Alur,Jl. Kamal Raya No.3 Tegal Alur,-6.118345,106.719677,021 5558057,021 5558057
Kantor Camat Palmerah,Jakarta Barat,Kec. Palmerah,Kel. Palmerah,"Jl. Kyai Haji Taisir No.2, RT 02/RW 12",-6.198861,106.786992,021 5480739,021 5346563
Kantor Lurah Kota Bambu Selatan,Jakarta Barat,Kec. Palmerah,Kel. Kota Bambu Selatan,Jl. H. Saaman No.41 RT.011 RW.06,-6.185047,106.801923,021 5655866,021 5655866
Kantor Lurah Palmerah,Jakarta Barat,Kec. Palmerah,Kel. Palmerah,Jl.Komplek Sandang No.2 RT.05/010 ,-6.202172,106.787003,021 5490872,021 5490872
Kantor Lurah Jatipulo,Jakarta Barat,Kec. Palmerah,Kel. Jatipulo,Jl. Turi No.30 RT.014/03,-6.177013,106.804228,021 5671745,021 5671745
Kantor Lurah Kota Bambu Utara,Jakarta Barat,Kec. Palmerah,Kel. Kota Bambu Utara,JL. Kota Bambu Utara No. 2,-6.185378,106.807393,021 5638671,021 5638671
Kantor Lurah Slipi,Jakarta Barat,Kec. Palmerah,Kel. Slipi,Jl. KS Tubun III Dalam No. 10 RT 004/ 02 ,-6.193573,106.801947,021 5481110,021 5481110
Kantor Lurah Kemanggisan,Jakarta Barat,Kec. Palmerah,Kel. Kemanggisan,Jalan Kemanggisan Hilir 1 No.2 RT.006/07,-6.192377,106.786668,021 5482206,021 5482206
Kantor Camat Kebon Jeruk,Jakarta Barat,Kec. Kebon Jeruk,Kel. Kebon Jeruk,"Jl. Raya Kebon Jeruk No.2, RT.5/RW.1",-6.198773,106.764278,021 5483291/ 53650951,021 5483291
Kantor Lurah Sukabumi Utara,Jakarta Barat,Kec. Kebon Jeruk,Kel. Sukabumi Utara,Jl. Madrasah II No 34,-6.209984,106.777643,021 5341533,021 5341533
Kantor Lurah Kedoya Utara,Jakarta Barat,Kec. Kebon Jeruk,Kel. Kedoya Utara,Jl. Flamboyan I No. 1 RW. 011 ,-6.176943,106.767501,021 5650517,021 5650517
Kantor Lurah Kedoya Selatan,Jakarta Barat,Kec. Kebon Jeruk,Kel. Kedoya Selatan,Jl. Kedoya Raya RT.001 RW.03,-6.179691,106.759018,021 5802133,021 5814132
Kantor Lurah Duri Kepa,Jakarta Barat,Kec. Kebon Jeruk,Kel. Duri Kepa,Jl. Duri Raya No. 1 RT. 004 RW.007 ,-6.184792,106.773111,021 5672464,021 5672464
Kantor Lurah Kebon Jeruk,Jakarta Barat,Kec. Kebon Jeruk,Kel. Kebon Jeruk ,Jl. Perumahan Kebon Jeruk Baru RT. 08 RW .11,-6.189925,106.772965,021 5481474,021 5481474
Kantor Lurah Sukabumi Selatan,Jakarta Barat,Kec. Kebon Jeruk,Kel. Sukabumi Selatan,Jl. Raya Sukabumi Selatan ,-6.217771,106.769902,021 5481925,021 5481925
Kantor Lurah Kelapa Dua,Jakarta Barat,Kec. Kebon Jeruk,Kel. Kelapa Dua ,Jl. Raya Kelapa Dua No.2,-6.214366,106.769434,021 53662601,021 021-53662601
Kantor Camat Kembangan,Jakarta Barat,Kec. Kembangan ,Kel. Meruya Utara,Taman Meruya Ilir Jl. Intan 6 Blok F7 No.6,-6.194937,106.736464,021 5814143,021 58908501
Kantor Lurah Kembangan Selatan,Jakarta Barat,Kec. Kembangan ,Kel. Kembangan Selatan,Jl. Kembangan Abadi Utama Blok A2 No.2 RT.002/08,-6.183414,106.751587,021 5815342,021 58355213
Kantor Lurah Meruya Utara,Jakarta Barat,Kec. Kembangan ,Kel. Meruya Utara,Jalan Taman Aries Blok C6/1,-6.19641,106.747712,021 5858934,021 5858934
Kantor Lurah Meruya Selatan,Jakarta Barat,Kec. Kembangan ,Kel. Meruya Selatan,Jl. H.Saaba Raya No. 7 RT. 002 RW. 02,-6.214936,106.736291,021 5840796,021 5840796
Kantor Lurah Srengseng,Jakarta Barat,Kec. Kembangan ,Kel. Srengseng  ,Jalan Srengseng Raya No. 1 RT. 001/02,-6.203516,106.756717,021 5840808,021 5840808
Kantor Lurah Joglo,Jakarta Barat,Kec. Kembangan ,Kel. Joglo,Jl. Joglo Raya No.1,-6.220434,106.735461,021 5864752,021 5864752
Kantor Lurah Kembangan Utara,Jakarta Barat,Kec. Kembangan ,Kel. Kembangan Utara,Jl. H. Saanan RT. 004/02 ,-6.179079,106.735312,021 5823750,021 5823750
Kantor Walikota Jakarta Pusat,Jakarta Pusat,Kec. Gambir ,Kel. Petojo Selatan,"Jl. Tanah Abang I No. 1, RT.011/08",-6.172977,106.819,021 3855054,021 3447466
Kantor Camat Gambir,Jakarta Pusat,Kec. Gambir,Kel. Petojo Selatan,Jl. Tanah Abang I No. 10,-6.170712,106.818958,021 3457373,021 38901779
Kantor Lurah Cideng,Jakarta Pusat,Kec. Gambir,Kel. Cideng,Jl. Petojo Selatan XI No.19 RT.007 RW.011 ,-6.167929,106.809339,021 63861716,021 63861716
Kantor Lurah Petojo Utara,Jakarta Pusat,Kec. Gambir,Kel. Petojo Utara,Jl. Pembangunan II Taman RT.009 RW.02,-6.162427,106.817488,021 6343273,021 6343273
